Name|period|AB|spt|mass|mass_unc|radius|radius_unc|teff|teff_unc|logg|logg_unc|Lbol|Lbol_unc|Vmag|Vmag_unc|
NGC188 KR V12|6.50|A|G1V|1.1034|0.0074|1.425|0.019|5900|100|4.173|0.012|0.344|0.032|3.93|0.11|
GSC 04619-00585|14.74|B|G1V|1.0811|0.0068|1.374|0.019|5875|100|4.196|0.012|0.305|0.032|4.03|0.11|
V568 Lyr|14.47|A|G5V|1.0745|0.0077|1.400|0.016|5665|100|4.1774|0.0097|0.258|0.032|4.19|0.11|
NGC6791 KR V20|17.51|B|K3V|0.8273|0.0042|0.7679|0.0064|4900|100|4.5852|0.0071|-0.515|0.036|6.37|0.15|
V636 Cen|4.28|A|G1V|1.0518|0.0048|1.0186|0.0043|5900|85|4.4441|0.0036|0.053|0.025|4.66|0.09|
HD 124784|8.70|B|K2V|0.8545|0.0030|0.8300|0.0043|5000|100|4.5317|0.0044|-0.413|0.035|6.05|0.14|
CV Boo|0.85|A|G3V|1.032|0.013|1.263|0.023|5760|150|4.249|0.017|0.198|0.048|4.32|0.15|
BD+37 2641|10.75|B|G5V|0.968|0.012|1.174|0.023|5670|150|4.285|0.018|0.107|0.049|4.57|0.16|
V1174 Ori|2.63|A|K4.5V|1.006|0.013|1.338|0.011|4470|120|4.1877|0.0069|-0.193|0.047|5.84|0.22|
Parenago 1478|13.95|B|M1.5V|0.7271|0.0096|1.063|0.011|3615|100|4.2467|0.0075|-0.761|0.049|8.57|0.42|
UV Psc|0.86|A|G5V|0.9829|0.0077|1.110|0.023|5780|100|4.340|0.018|0.092|0.035|4.58|0.11|
HD 7700|9.03|B|K3V|0.7644|0.0045|0.835|0.018|4750|80|4.478|0.019|-0.497|0.035|6.41|0.14|
CG Cyg|0.63|A|G9.5V|0.941|0.014|0.893|0.012|5260|180|4.510|0.011|-0.261|0.061|5.59|0.22|
BD+34 4217|10.08|B|K3V|0.814|0.013|0.838|0.011|4720|60|4.502|0.011|-0.505|0.025|6.45|0.11|
RW Lac|10.37|A|G5V|0.9263|0.0057|1.1864|0.0038|5760|100|4.2564|0.0026|0.143|0.030|4.46|0.11|
TYC 3629-740-1|10.63|B|G7V|0.8688|0.0040|0.9638|0.0040|5560|150|4.4090|0.0034|-0.099|0.047|5.10|0.16|
HS Aur|9.82|A|G8V|0.898|0.019|1.004|0.024|5350|75|4.387|0.021|-0.130|0.032|5.24|0.11|
BD+47 1350|10.16|B|K0V|0.877|0.017|0.874|0.024|5200|75|4.498|0.024|-0.300|0.035|5.71|0.12|
GU Boo|0.49|A|M1V|0.6101|0.0064|0.627|0.016|3920|130|4.628|0.022|-1.079|0.062|8.68|0.38|
GSC 02566-00776|13.7:|B|M1V|0.5995|0.0064|0.624|0.016|3810|130|4.626|0.022|-1.133|0.063|9.02|0.43|
YY Gem|0.81|A|M1Ve|0.5992|0.0047|0.6194|0.0057|3820|100|4.6317|0.0087|-1.135|0.046|9.01|0.33|
BD+32 1582|8.92|B|M1Ve|0.5992|0.0047|0.6194|0.0057|3820|100|4.6317|0.0087|-1.135|0.046|9.01|0.33|
CU Cnc|2.77|A|M3.5Ve|0.4349|0.0012|0.4323|0.0055|3160|150|4.805|0.011|-1.776|0.084|13.07|1.16|
GJ 2069 A|11.89|B|M3.5Ve|0.39922|0.00089|0.3916|0.0094|3125|150|4.854|0.021|-1.882|0.086|13.55|1.21|
CM Dra|1.27|A|M4.5V|0.23102|0.00089|0.2534|0.0019|3130|70|4.9942|0.0065|-2.257|0.039|14.46|0.55|
GJ 630.1 A|12.90|B|M4.5V|0.21409|0.00083|0.2398|0.0018|3120|70|5.0090|0.0062|-2.310|0.039|14.66|0.56|
